locale;category_id;name;name_slug;singular_name;singular_name_slug
es_ES;6e18477a-44b7-4671-afe5-8a2c669609d7;Sillas;sillas;;
es_ES;baaaebfe-d61a-4d65-abf0-5a8647531e0c;Teclados;teclados;;
es_ES;3845993f-76e6-41db-b6a6-c675ae49f3cb;Auriculares;auriculares;;
es_ES;d0be72ba-efe2-4965-a0e3-40c04dc6e977;Ratones;ratones;;
es_ES;5b3220fd-a025-4e56-bced-4e2dec1d456d;Multifunciones;multifunciones;;
en_GB;0c5e88e3-8940-4394-b556-b9704d316438;Hard Drive Accessories;hard-drive-accessories;;
es_ES;a8d2b5f6-3606-4248-9e24-5654d94c8483;Herramientas y útiles de montaje;herramientas-y-utiles-de-montaje;;
es_ES;af561ced-e40c-46db-9586-80cec563fbf9;Adaptadores Gamepads / Joysticks;adaptadores-gamepads-joysticks;;
es_ES;6b62a464-7b2f-422e-879d-e2ceb0f3d7b6;Altavoces;altavoces;;
es_ES;d0846171-d912-4b0d-bf73-fce2b8db0c98;Impresoras;impresoras;;
es_ES;10b6f032-a9d5-41d5-976c-c9360f56fbf7;Ordenadores Portátiles;ordenadores-portatiles;;
en_GB;f157fc09-30cd-4102-908b-55b9ba3cb402;Series/Parallel Cables;series-parallel-cables;;
es_ES;e132bba0-66ff-4615-8de6-d1cc9e490ec7;Tabletas Digitales;tabletas-digitales;;
es_ES;d781801b-832d-4d0e-ab95-66aebd641f15;Impresoras 3D;impresoras-3d;;
es_ES;705273b7-b863-4815-98fe-c8eb7777ec54;Webcam;webcam;;
es_ES;0b75d69d-5771-42e9-8d1b-2be586f0a1ed;Componentes TPV;componentes-tpv;;
es_ES;d44fed65-52b6-455a-8c49-bdea4821ebae;Consumibles TPV;consumibles-tpv;;
es_ES;5a01ff46-0d14-47e2-bc76-64377f300cf0;Accesorios Gaming;accesorios-gaming;;
es_ES;895f8314-bc07-4ff5-821d-b63b2c4df118;Altavoces TV/Barras Sonido;altavoces-tv-barras-sonido;;
es_ES;bb0c4a64-c475-4326-8564-b9768d69259b;Escaners;escaners;;
es_ES;91082a32-81d0-4b0a-aa17-d3f04c21d897;Micrófonos;microfonos;;
es_ES;0e85dcb1-f58c-4cbc-8a74-eb2529b0ff88;Regletas;regletas;;
